location,trap_set_date,week_ending_saturday,epi_week,year,site_type,lat,lon,lga_code_2011,lga_name_2011,lga_code_2016,lga_name_2016,lga_name_2020,lhd,virus
Leeton,09/01/1995,14/01/1995,3,6/17/1905,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Barmah Forest
Batemans Bay,17/01/1995,21/01/1995,3,1995,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Barmah Forest
Batemans Bay,23/01/1995,28/01/1995,3,1995,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Barmah Forest
Port Stephens,24/01/2006,28/01/2006,3,2006,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Port Stephens,15/01/2008,19/01/2008,3,2008,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Port Stephens,22/01/2008,26/01/2008,3,2008,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Port Stephens,12/01/2011,15/01/2011,3,2011,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Port Stephens,18/01/2011,22/01/2011,3,2011,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Leeton,24/01/2008,26/01/2008,3,2008,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Barmah Forest
Leeton,40664,08/01/2011,3,2011,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Barmah Forest
Griffith,16/01/2017,21/01/2017,3,2017,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Barmah Forest
Young,45170,14/01/2023,3,2023,Inland,-34.22,148.31,18750,Young,13910,Hilltops,Hilltops,Murrumbidgee,Barmah Forest
Georges River - East,29/01/2014,01/02/2014,3,2014,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Barmah Forest
Bankstown,27/01/2015,31/01/2015,3,2015,Sydney,-33.9182,151.035,10350,Bankstown,11570,Canterbury-Bankstown,Canterbury-Bankstown,South Western Sydney,Barmah Forest
Batemans Bay,31/01/1995,04/02/1995,4,1995,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Barmah Forest
Port Stephens,31/01/2006,04/02/2006,4,2006,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Port Stephens,39661,12/01/2008,4,2008,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Port Stephens,31/01/2008,02/02/2008,4,2008,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Central Coast,20/01/2011,22/01/2011,4,2011,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Barmah Forest
Port Stephens,25/01/2011,29/01/2011,4,2011,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Central Coast,20/01/2015,24/01/2015,4,2015,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Barmah Forest
Lake Macquarie,20/01/2015,24/01/2015,4,2015,Coastal,-33.0311,151.5603,14650,Lake Macquarie,14650,Lake Macquarie,Lake Macquarie,Hunter New England,Barmah Forest
Batemans Bay,14/01/2025,18/01/2025,4,2025,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Barmah Forest
Griffith,19/01/2015,24/01/2015,4,2015,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Barmah Forest
Tathra,21/02/1995,25/02/1995,7,1995,Coastal,-36.7297,149.9858,10550,Bega Valley,10550,Bega Valley,Bega Valley,Southern NSW,Barmah Forest
Lake Macquarie,16/02/2006,18/02/2006,7,2006,Coastal,-33.0311,151.5603,14650,Lake Macquarie,14650,Lake Macquarie,Lake Macquarie,Hunter New England,Barmah Forest
Port Stephens,21/02/2006,25/02/2006,7,2006,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Lake Macquarie,42279,14/02/2015,7,2015,Coastal,-33.0311,151.5603,14650,Lake Macquarie,14650,Lake Macquarie,Lake Macquarie,Hunter New England,Barmah Forest
Central Coast,27/02/2018,03/03/2018,7,2018,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Barmah Forest
Newcastle,27/02/2024,02/03/2024,7,2024,Coastal,-32.8665,151.7618,15900,Newcastle,15900,Newcastle,Newcastle,Hunter New England,Barmah Forest
Menindee,15/02/1993,20/02/1993,7,1993,Inland,-32.4,142.43,11700,Central Darling,11700,Central Darling,Central Darling,Far West,Barmah Forest
Penrith,27/02/2024,02/03/2024,7,2024,Sydney,-33.7507,150.6877,16350,Penrith,16350,Penrith,Penrith,Nepean Blue Mountains,Barmah Forest
Batemans Bay,34852,11/02/1995,8,1995,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Barmah Forest
Batemans Bay,14/02/1995,18/02/1995,8,1995,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Barmah Forest
Batemans Bay,20/02/1995,25/02/1995,8,1995,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Barmah Forest
Central Coast,24/02/2006,25/02/2006,8,2006,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Barmah Forest
Lake Macquarie,20/02/2006,25/02/2006,8,2006,Coastal,-33.0311,151.5603,14650,Lake Macquarie,14650,Lake Macquarie,Lake Macquarie,Hunter New England,Barmah Forest
Port Macquarie,28/02/2006,04/03/2006,8,2006,Coastal,-31.38,152.9,16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,Mid North Coast,Barmah Forest
Port Stephens,38900,11/02/2006,8,2006,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Port Stephens,14/02/2006,18/02/2006,8,2006,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
Port Stephens,28/02/2006,04/03/2006,8,2006,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Barmah Forest
