location,trap_set_date,week_ending_saturday,epi_week,year,site_type,virus
Leeton,09/01/1995,14/01/1995,3,6/17/1905,Coastal,Barmah Forest
Batemans Bay,17/01/1995,21/01/1995,3,1995,Coastal,Barmah Forest
Batemans Bay,23/01/1995,28/01/1995,3,1995,Coastal,Barmah Forest
Port Stephens,24/01/2006,28/01/2006,3,2006,Coastal,Barmah Forest
Port Stephens,15/01/2008,19/01/2008,3,2008,Coastal,Barmah Forest
Port Stephens,22/01/2008,26/01/2008,3,2008,Coastal,Barmah Forest
Port Stephens,12/01/2011,15/01/2011,3,2011,Coastal,Barmah Forest
Port Stephens,18/01/2011,22/01/2011,3,2011,Coastal,Barmah Forest
Leeton,24/01/2008,26/01/2008,3,2008,Inland,Barmah Forest
Leeton,01/05/2011,08/01/2011,3,2011,Inland,Barmah Forest
Griffith,16/01/2017,21/01/2017,3,2017,Inland,Barmah Forest
Young,45170,14/01/2023,3,2023,Inland,Barmah Forest
Georges River - East,29/01/2014,01/02/2014,3,2014,Sydney,Barmah Forest
Bankstown,27/01/2015,31/01/2015,3,2015,Sydney,Barmah Forest
Batemans Bay,31/01/1995,04/02/1995,4,1995,Coastal,Barmah Forest
Port Stephens,31/01/2006,04/02/2006,4,2006,Coastal,Barmah Forest
Port Stephens,39661,12/01/2008,4,2008,Coastal,Barmah Forest
Port Stephens,31/01/2008,02/02/2008,4,2008,Coastal,Barmah Forest
Central Coast,20/01/2011,22/01/2011,4,2011,Coastal,Barmah Forest
Port Stephens,25/01/2011,29/01/2011,4,2011,Coastal,Barmah Forest
Central Coast,20/01/2015,24/01/2015,4,2015,Coastal,Barmah Forest
Lake Macquarie,20/01/2015,24/01/2015,4,2015,Coastal,Barmah Forest
Batemans Bay,14/01/2025,18/01/2025,4,2025,Coastal,Barmah Forest
Griffith,19/01/2015,24/01/2015,4,2015,Inland,Barmah Forest
Tathra,21/02/1995,25/02/1995,7,1995,Coastal,Barmah Forest
Lake Macquarie,16/02/2006,18/02/2006,7,2006,Coastal,Barmah Forest
Port Stephens,21/02/2006,25/02/2006,7,2006,Coastal,Barmah Forest
Lake Macquarie,42279,14/02/2015,7,2015,Coastal,Barmah Forest
Central Coast,27/02/2018,03/03/2018,7,2018,Coastal,Barmah Forest
Newcastle,27/02/2024,02/03/2024,7,2024,Coastal,Barmah Forest
Menindee,15/02/1993,20/02/1993,7,1993,Inland,Barmah Forest
Penrith,27/02/2024,02/03/2024,7,2024,Sydney,Barmah Forest
Batemans Bay,34852,11/02/1995,8,1995,Coastal,Barmah Forest
Batemans Bay,14/02/1995,18/02/1995,8,1995,Coastal,Barmah Forest
Batemans Bay,20/02/1995,25/02/1995,8,1995,Coastal,Barmah Forest
Central Coast,24/02/2006,25/02/2006,8,2006,Coastal,Barmah Forest
Lake Macquarie,20/02/2006,25/02/2006,8,2006,Coastal,Barmah Forest
Port Macquarie,28/02/2006,04/03/2006,8,2006,Coastal,Barmah Forest
Port Stephens,38900,11/02/2006,8,2006,Coastal,Barmah Forest
Port Stephens,14/02/2006,18/02/2006,8,2006,Coastal,Barmah Forest
Port Stephens,28/02/2006,04/03/2006,8,2006,Coastal,Barmah Forest
Port Macquarie,39784,16/02/2008,8,2008,Coastal,Barmah Forest
Port Stephens,39570,09/02/2008,8,2008,Coastal,Barmah Forest
Lake Macquarie,17/02/2015,21/02/2015,8,2015,Coastal,Barmah Forest
Newcastle,17/02/2025,22/02/2025,8,2025,Coastal,Barmah Forest
Griffith,42310,14/02/2015,8,2015,Inland,Barmah Forest
Leeton,42310,14/02/2015,8,2015,Inland,Barmah Forest
Griffith,42371,06/02/2016,8,2016,Inland,Barmah Forest
Bankstown,18/02/2014,22/02/2014,8,2014,Sydney,Barmah Forest
Georges River - East,18/02/2014,22/02/2014,8,2014,Sydney,Barmah Forest
Georges River - East,25/02/2014,01/03/2014,8,2014,Sydney,Barmah Forest
Georges River - East,17/02/2015,21/02/2015,8,2015,Sydney,Barmah Forest
Northern Beaches,24/02/2021,27/02/2021,8,2021,Sydney,Barmah Forest
Sydney Olympic Park,29/02/2024,02/03/2024,8,2024,Sydney,Barmah Forest
Port Macquarie,44077,14/03/2020,11,2020,Coastal,Barmah Forest
Georges River - All,21/03/2018,24/03/2018,11,2018,Sydney,Barmah Forest
Forster,34883,11/03/1995,12,1995,Coastal,Barmah Forest
Tathra,34702,04/03/1995,12,1995,Coastal,Barmah Forest
Lake Macquarie,14/03/2006,18/03/2006,12,2006,Coastal,Barmah Forest
Port Stephens,38932,11/03/2006,12,2006,Coastal,Barmah Forest
Port Macquarie,17/03/2014,22/03/2014,12,2014,Coastal,Barmah Forest
Central Coast,14/03/2018,17/03/2018,12,2018,Coastal,Barmah Forest
Port Macquarie,16/03/2020,21/03/2020,12,2020,Coastal,Barmah Forest
Port Macquarie,23/03/2020,28/03/2020,12,2020,Coastal,Barmah Forest
Central Coast,23/03/2023,25/03/2023,12,2023,Coastal,Barmah Forest
Newcastle,45415,09/03/2024,12,2024,Coastal,Barmah Forest
Batemans Bay,25/03/2025,29/03/2025,12,2025,Coastal,Barmah Forest
Griffith,41946,15/03/2014,12,2014,Inland,Barmah Forest
Griffith,25/03/2025,29/03/2025,12,2025,Inland,Barmah Forest
Parramatta,31/03/1995,01/04/1995,12,1995,Sydney,Barmah Forest
Georges River - East,19/03/2008,22/03/2008,12,2008,Sydney,Barmah Forest
Georges River - East,41762,08/03/2014,12,2014,Sydney,Barmah Forest
Georges River - East,41946,15/03/2014,12,2014,Sydney,Barmah Forest
Georges River - East,18/03/2014,22/03/2014,12,2014,Sydney,Barmah Forest
Liverpool,18/03/2020,21/03/2020,12,2020,Sydney,Barmah Forest
Liverpool,22/03/2022,26/03/2022,12,2022,Sydney,Barmah Forest
Georges River,25/03/2025,29/03/2025,12,2025,Sydney,Barmah Forest
Northern Beaches,18/03/2025,22/03/2025,12,2025,Sydney,Barmah Forest
Parramatta,18/03/2025,22/03/2025,12,2025,Sydney,Barmah Forest
Penrith,25/03/2025,29/03/2025,12,2025,Sydney,Barmah Forest
Central Coast,41643,05/04/2014,16,2014,Coastal,Barmah Forest
Port Stephens,23/04/2014,26/04/2014,16,2014,Coastal,Barmah Forest
Port Macquarie,43500,06/04/2019,16,2019,Coastal,Barmah Forest
Tweed,43500,06/04/2019,16,2019,Coastal,Barmah Forest
Ballina,15/04/2020,18/04/2020,16,2020,Coastal,Barmah Forest
Central Coast,43834,04/04/2020,16,2020,Coastal,Barmah Forest
Tweed,43986,11/04/2020,16,2020,Coastal,Barmah Forest
Moree,27/04/2025,03/05/2025,16,2025,Inland,Barmah Forest
Moree,27/04/2025,03/05/2025,16,2025,Inland,Barmah Forest
Liverpool,27/04/2020,02/05/2020,16,2020,Sydney,Barmah Forest
Northern Beaches,43986,11/04/2020,16,2020,Sydney,Barmah Forest
Northern Beaches,27/04/2020,02/05/2020,16,2020,Sydney,Barmah Forest
Port Stephens,41855,12/04/2014,17,2014,Coastal,Barmah Forest
Port Macquarie,45508,13/04/2024,17,2024,Coastal,Barmah Forest
Northern Beaches,20/04/2020,25/04/2020,17,2020,Sydney,Barmah Forest
Lake Macquarie,16/05/2007,19/05/2007,20,2007,Coastal,Barmah Forest
Central Coast,44962,06/05/2023,21,2023,Coastal,Barmah Forest
Northern Beaches,44597,07/05/2022,21,2022,Sydney,Barmah Forest
Forbes,15/11/2016,19/11/2016,46,2016,Inland,Barmah Forest
Griffith,16/11/2010,20/11/2010,47,2010,Inland,Barmah Forest
